Ano,Mes,Tipo de Midia,Gastos com Publicidade (em R$),Previsao Inicial de Aumento de Vendas (em mil unidades)
2022,1,Paginas web,87000,1000
2022,1,Redes sociais,120000,800
2022,1,TV,250000,1500
2022,1,Jornal,110000,730
2022,1,Revista,40000,360
2022,1,Radio,75000,450
2022,2,Paginas web,80000,980
2022,2,Redes sociais,110000,750
2022,2,TV,200000,1300
2022,2,Jornal,90000,700
2022,2,Revista,30000,330
2022,2,Radio,50000,400
2022,3,Paginas web,120000,1400
2022,3,Redes sociais,140000,1100
2022,3,TV,220000,1400
2022,3,Jornal,110000,730
2022,3,Revista,60000,500
2022,3,Radio,70000,600
2022,4,Paginas web,125000,1600
2022,4,Redes sociais,140000,1200
2022,4,TV,280000,1700
2022,4,Jornal,130000,880
2022,4,Revista,60000,550
2022,4,Radio,90000,600
2022,5,Paginas web,150000,1900
2022,5,Redes sociais,220000,1700
2022,5,TV,270000,1700
2022,5,Jornal,150000,990
2022,5,Revista,80000,700
2022,5,Radio,110000,900
2022,6,Paginas web,120000,1700
2022,6,Redes sociais,180000,1500
2022,6,TV,230000,1300
2022,6,Jornal,122000,800
2022,6,Revista,66000,550
2022,6,Radio,87000,620
2022,7,Paginas web,190000,2500
2022,7,Redes sociais,250000,2300
2022,7,TV,270000,2100
2022,7,Jornal,170000,1800
2022,7,Revista,120000,1300
2022,7,Radio,110000,1100
2022,8,Paginas web,82000,970
2022,8,Redes sociais,101000,700
2022,8,TV,120000,900
2022,8,Jornal,70000,500
2022,8,Revista,22000,320
2022,9,Radio,11000,200
2022,9,Paginas web,118800,1600
2022,9,Redes sociais,175000,1400
2022,9,TV,225000,1200
2022,9,Jornal,119000,700
2022,9,Revista,60000,500
2022,9,Radio,81000,600
2022,10,Paginas web,190000,2500
2022,10,Redes sociais,250000,2300
2022,10,TV,270000,2100
2022,10,Jornal,170000,1800
2022,10,Revista,120000,1300
2022,10,Radio,110000,1100
2022,11,Paginas web,210000,2500
2022,11,Redes sociais,240000,2400
2022,11,TV,290000,2100
2022,11,Jornal,170000,1400
2022,11,Revista,120000,1300
2022,11,Radio,150000,1500
2022,12,Paginas web,260000,2500
2022,12,Redes sociais,270000,2700
2022,12,TV,290000,2600
2022,12,Jornal,190000,1900
2022,12,Revista,150000,1700
2022,12,Radio,140000,1500
2023,1,Paginas web,97440,1166
2023,1,Redes sociais,136800,1040
2023,1,TV,295000,2089
2023,1,Jornal,123200,916
2023,1,Revista,44800,420
2023,1,Radio,84000,564
2023,2,Paginas web,89600,1229
2023,2,Redes sociais,123200,941
2023,2,TV,224000,1516
2023,2,Jornal,100800,878
2023,2,Revista,33600,414
2023,2,Radio,56000,502
2023,3,Paginas web,134400,1633
2023,3,Redes sociais,156800,1380
2023,3,TV,246400,1756
2023,3,Jornal,123200,916
2023,3,Revista,67200,583
2023,3,Radio,78400,753
2023,4,Paginas web,140000,2007
2023,4,Redes sociais,156800,1400
2023,4,TV,313600,2132
2023,4,Jornal,145600,1104
2023,4,Revista,67200,642
2023,4,Radio,100800,753
2023,5,Paginas web,168000,2383
2023,5,Redes sociais,246400,1983
2023,5,TV,302400,2132
2023,5,Jornal,168000,1242
2023,5,Revista,89600,816
2023,5,Radio,123200,1129
2023,6,Paginas web,134400,2132
2023,6,Redes sociais,201600,1750
2023,6,TV,257600,1631
2023,6,Jornal,136640,1004
2023,6,Revista,73920,642
2023,6,Radio,97440,778
2023,7,Paginas web,212800,3136
2023,7,Redes sociais,280000,2683
2023,7,TV,302400,2634
2023,7,Jornal,190400,2258
2023,7,Revista,134400,1516
2023,7,Radio,123200,1380
2023,8,Paginas web,91840,1217
2023,8,Redes sociais,113120,816
2023,8,TV,134400,1129
2023,8,Jornal,78400,583
2023,8,Revista,24640,373
2023,9,Radio,12320,233
2023,9,Paginas web,133056,1866
2023,9,Redes sociais,196000,1633
2023,9,TV,252000,1400
2023,9,Jornal,133280,878
2023,9,Revista,67200,583
2023,9,Radio,90720,700
2023,10,Paginas web,212800,2916
2023,10,Redes sociais,280000,2683
2023,10,TV,302400,2449
2023,10,Jornal,190400,2100
2023,10,Revista,134400,1516
2023,10,Radio,123200,1283
2023,11,Paginas web,235200,3136
2023,11,Redes sociais,268800,3011
2023,11,TV,324800,2634
2023,11,Jornal,190400,1633
2023,11,Revista,134400,1516
2023,11,Radio,168000,1750
2023,12,Paginas web,291200,2916
2023,12,Redes sociais,302400,3149
2023,12,TV,324800,3261
2023,12,Jornal,212800,2383
2023,12,Revista,168000,1983
2023,12,Radio,156800,1750
2024,1,Instagram,194700,5310
2024,1,Google,146900,4746
2024,1,Paginas web,"99388,8",1190
2024,1,Redes sociais,145008,1102
2024,1,TV,309750,2193
2024,1,Jornal,124432,925
2024,1,Revista,46592,437
2024,1,Radio,88200,593
2024,2,Instagram,174900,4770
2024,2,Google,139100,4494
2024,2,Paginas web,96768,1328
2024,2,Redes sociais,134288,1025
2024,2,TV,246400,1668
2024,2,Jornal,111888,975
2024,2,Revista,37632,464
2024,2,Radio,57120,512
2024,3,Instagram,174900,4770
2024,3,Google,136500,4410
2024,3,Paginas web,135744,1649
2024,3,Redes sociais,163072,1435
2024,3,TV,258720,1844
2024,3,Jornal,130592,971
2024,3,Revista,71904,624
2024,3,Radio,84672,813
2024,4,Instagram,179850,4905
2024,4,Google,143000,4620
2024,4,Paginas web,155400,2228
2024,4,Redes sociais,175616,1568
2024,4,TV,319872,2175
2024,4,Jornal,154336,1170
2024,4,Revista,70560,674
2024,4,Radio,101808,760
2024,5,Instagram,171600,4680
2024,5,Google,136500,4410
2024,5,Paginas web,178080,2526
2024,5,Redes sociais,263648,2122
2024,5,TV,326592,2303
2024,5,Jornal,183120,1354
2024,5,Revista,98560,898
2024,5,Radio,136752,1253
2024,6,Instagram,184800,5040
2024,6,Google,132600,4284
2024,6,Paginas web,142464,2260
2024,6,Redes sociais,211680,1837
2024,6,TV,260176,1647
2024,6,Jornal,"142105,6",1044
2024,6,Revista,77616,674
2024,6,Radio,"103286,4",824
2024,7,Instagram,176550,4815
2024,7,Google,140400,4536
2024,7,Paginas web,231952,3418
2024,7,Redes sociais,308000,2951
2024,7,TV,335664,2924
2024,7,Jornal,213248,2529
2024,7,Revista,145152,1638
2024,7,Radio,134288,1504
